"location","indicator","Unit","Date","Value"
"Wisconsin","2 Adults 1 Child","US $","2022","18.36"
"Wisconsin","2 Adults 2 Children","US $","2016","16.94"
"Wisconsin","2 Adults 2 Children","US $","2018","16.04"
"Wisconsin","2 Adults 2 Children","US $","2019","16.49"
"Wisconsin","2 Adults 2 Children","US $","2020","21.59"
"Wisconsin","2 Adults 2 Children","US $","2021","21.24"
"Wisconsin","2 Adults 2 Children","US $","2022","24.28"
"Wisconsin","2 Adults 3 Children","US $","2016","20.51"
"Wisconsin","2 Adults 3 Children","US $","2018","18.62"
"Wisconsin","2 Adults 3 Children","US $","2019","19.39"
"Wisconsin","2 Adults 3 Children","US $","2020","25.31"
"Wisconsin","2 Adults 3 Children","US $","2021","25.25"
"Wisconsin","2 Adults 3 Children","US $","2022","28.87"
"Texas","1 Adult","US $","2016","10.67"
"Texas","1 Adult","US $","2018","11.48"
"Texas","1 Adult","US $","2019","11.74"
"Texas","1 Adult","US $","2020","14.8"
"Texas","1 Adult","US $","2021","14.01"
"Texas","1 Adult","US $","2022","16.41"
"Texas","1 Adult 1 Child","US $","2016","21.99"
"Texas","1 Adult 1 Child","US $","2018","23.42"
"Texas","1 Adult 1 Child","US $","2019","23.86"
"Texas","1 Adult 1 Child","US $","2020","30.03"
"Texas","1 Adult 1 Child","US $","2021","28.68"
"Texas","1 Adult 1 Child","US $","2022","31.63"
"Texas","1 Adult 2 Children","US $","2016","26.37"
"Texas","1 Adult 2 Children","US $","2018","27.02"
"Texas","1 Adult 2 Children","US $","2019","27.83"
"Texas","1 Adult 2 Children","US $","2020","35.9"
"Texas","1 Adult 2 Children","US $","2021","35.09"
"Texas","1 Adult 2 Children","US $","2022","38.97"
"Texas","1 Adult 3 Children","US $","2016","32.36"
"Texas","1 Adult 3 Children","US $","2018","33.37"
"Texas","1 Adult 3 Children","US $","2019","34.2"
"Texas","1 Adult 3 Children","US $","2020","46.64"
"Texas","1 Adult 3 Children","US $","2021","44.92"
"Texas","1 Adult 3 Children","US $","2022","51.02"
"Texas","2 Adults (1 Working)","US $","2016","17.35"
"Texas","2 Adults (1 Working)","US $","2018","18.68"
"Texas","2 Adults (1 Working)","US $","2019","19.16"
"Texas","2 Adults (1 Working)","US $","2020","24.12"
"Texas","2 Adults (1 Working)","US $","2021","22.65"
"Texas","2 Adults (1 Working)","US $","2022","25.12"
"Texas","2 Adults (1 Working) 1 Child","US $","2016","22.1"
"Texas","2 Adults (1 Working) 1 Child","US $","2018","22.57"
"Texas","2 Adults (1 Working) 1 Child","US $","2019","23.3"
"Texas","2 Adults (1 Working) 1 Child","US $","2020","28.32"
"Texas","2 Adults (1 Working) 1 Child","US $","2021","27.36"
"Texas","2 Adults (1 Working) 1 Child","US $","2022","30.64"
"Texas","2 Adults (1 Working) 2 Children","US $","2016","24.45"
"Texas","2 Adults (1 Working) 2 Children","US $","2018","25.01"
"Texas","2 Adults (1 Working) 2 Children","US $","2019","25.67"
"Texas","2 Adults (1 Working) 2 Children","US $","2020","32.74"
"Texas","2 Adults (1 Working) 2 Children","US $","2021","30.75"
"Texas","2 Adults (1 Working) 2 Children","US $","2022","35.75"
"Texas","2 Adults (1 Working) 3 Children","US $","2016","27.21"
"Texas","2 Adults (1 Working) 3 Children","US $","2018","28.04"
"Texas","2 Adults (1 Working) 3 Children","US $","2019","29.32"
"Texas","2 Adults (1 Working) 3 Children","US $","2020","34.99"
"Texas","2 Adults (1 Working) 3 Children","US $","2021","33.28"
"Texas","2 Adults (1 Working) 3 Children","US $","2022","39.24"
"Texas","2 Adults (1 Working Part Time) 1 Child","US $","2016","12.5"
"Texas","2 Adults","US $","2016","8.68"
"Texas","2 Adults","US $","2018","9.34"
"Texas","2 Adults","US $","2019","9.58"
"Texas","2 Adults","US $","2020","12.06"
"Texas","2 Adults","US $","2021","11.32"
"Texas","2 Adults","US $","2022","12.56"
"Texas","2 Adults 1 Child","US $","2016","12.5"
"Texas","2 Adults 1 Child","US $","2018","12.79"
"Texas","2 Adults 1 Child","US $","2019","13.19"
"Texas","2 Adults 1 Child","US $","2020","16.09"
"Texas","2 Adults 1 Child","US $","2021","15.64"
"Texas","2 Adults 1 Child","US $","2022","17.44"
"Texas","2 Adults 2 Children","US $","2016","14.41"
